Pt1,2486027.2619,240905.7127,132.1296,
Pt2,2486064.4347,240854.1734,136.2015,
Pt3,2486083.0345,240792.3834,140.0668,
Pt4 pp,2486100.7454,240712.3643,144.9019,
Pt5 pp,2486111.5629,240642.6898,149.2939,
Pt6 pp,2486148.9222,240497.9458,158.7669,
Pt7 pp bridge,2485860.7568,241094.8794,110.1269,
